,tableId,rowIndex,rowCounter,subvec_std,subvec_std_issue_parsed,subvec
0,0114daa6-c048-4081-b4cf-7a9d7461fa44,1,,"[""Erosion""]",,['Erosion']
1,0114daa6-c048-4081-b4cf-7a9d7461fa44,2,,"[""Weed""]",,['Weed']
2,0114daa6-c048-4081-b4cf-7a9d7461fa44,3,,"[""Erosion""]",,['Erosion']
3,0114daa6-c048-4081-b4cf-7a9d7461fa44,4,,"[""Weed""]",,['Weed']
4,0114daa6-c048-4081-b4cf-7a9d7461fa44,5,,"[""Erosion""]",,['Erosion']
5,0114daa6-c048-4081-b4cf-7a9d7461fa44,6,,"[""Weed""]",,['Weed']
6,0114daa6-c048-4081-b4cf-7a9d7461fa44,7,,"[""Weed""]",,['Weed']
7,0114daa6-c048-4081-b4cf-7a9d7461fa44,8,,,,
8,0114daa6-c048-4081-b4cf-7a9d7461fa44,9,,"[""Weed""]",,['Weed']
9,0114daa6-c048-4081-b4cf-7a9d7461fa44,10,,"[""Subsidence""]",,['Subsidence']
10,0114daa6-c048-4081-b4cf-7a9d7461fa44,11,,"[""Subsidence""]",,['Subsidence']
11,0114daa6-c048-4081-b4cf-7a9d7461fa44,12,,"[""Subsidence""]",,['Subsidence']
12,0114daa6-c048-4081-b4cf-7a9d7461fa44,13,,"[""Subsidence""]",,['Subsidence']
13,0114daa6-c048-4081-b4cf-7a9d7461fa44,14,,"[""Erosion""]",,['Erosion']
14,0114daa6-c048-4081-b4cf-7a9d7461fa44,15,,"[""Weed""]",,['Weed']
15,0114daa6-c048-4081-b4cf-7a9d7461fa44,16,,"[""Erosion""]",,['Erosion']
16,0114daa6-c048-4081-b4cf-7a9d7461fa44,17,,"[""Subsidence""]",,['Subsidence']
17,0114daa6-c048-4081-b4cf-7a9d7461fa44,18,,,,
18,0114daa6-c048-4081-b4cf-7a9d7461fa44,19,,"[""Weed""]",,['Weed']
19,0114daa6-c048-4081-b4cf-7a9d7461fa44,20,,"[""Erosion""]",,['Erosion']
20,0114daa6-c048-4081-b4cf-7a9d7461fa44,21,,,,
21,0114daa6-c048-4081-b4cf-7a9d7461fa44,22,,"[""Compaction""]",,['Compaction']
22,0114daa6-c048-4081-b4cf-7a9d7461fa44,23,,"[""Erosion""]",,['Erosion']
23,0114daa6-c048-4081-b4cf-7a9d7461fa44,24,,,,
24,0114daa6-c048-4081-b4cf-7a9d7461fa44,25,,"[""Erosion""]",,['Erosion']
25,0114daa6-c048-4081-b4cf-7a9d7461fa44,26,,"[""Weed""]",,['Weed']
26,0114daa6-c048-4081-b4cf-7a9d7461fa44,27,,"[""Weed""]",,['Weed']
27,0114daa6-c048-4081-b4cf-7a9d7461fa44,28,,,,
28,0114daa6-c048-4081-b4cf-7a9d7461fa44,29,,,,
29,0114daa6-c048-4081-b4cf-7a9d7461fa44,30,,"[""Weed""]",,['Weed']
30,0114daa6-c048-4081-b4cf-7a9d7461fa44,31,,"[""Erosion"", ""Subsidence""]",,"['Erosion', 'Subsidence']"
31,0114daa6-c048-4081-b4cf-7a9d7461fa44,32,,,,
32,0114daa6-c048-4081-b4cf-7a9d7461fa44,33,,,,
33,0114daa6-c048-4081-b4cf-7a9d7461fa44,34,,"[""Weed""]",,['Weed']
34,0114daa6-c048-4081-b4cf-7a9d7461fa44,35,,"[""Weed""]",,['Weed']
35,0114daa6-c048-4081-b4cf-7a9d7461fa44,36,,"[""Erosion""]",,['Erosion']
36,0114daa6-c048-4081-b4cf-7a9d7461fa44,37,,,,
37,0114daa6-c048-4081-b4cf-7a9d7461fa44,38,,"[""Subsidence"", ""Weed""]",,"['Subsidence', 'Weed']"
38,0114daa6-c048-4081-b4cf-7a9d7461fa44,39,,"[""Erosion"", ""Subsidence""]",,"['Erosion', 'Subsidence']"
39,0114daa6-c048-4081-b4cf-7a9d7461fa44,40,,"[""Weed""]",,['Weed']
40,0114daa6-c048-4081-b4cf-7a9d7461fa44,41,,"[""Subsidence""]",,['Subsidence']
41,0114daa6-c048-4081-b4cf-7a9d7461fa44,42,,"[""Erosion""]",,['Erosion']
42,02db9f91-572a-44af-9858-4add101353c1,1,1.0,,"[""Weed""]",['Weed']
43,02db9f91-572a-44af-9858-4add101353c1,1,2.0,,,
44,02db9f91-572a-44af-9858-4add101353c1,1,3.0,,,
45,02db9f91-572a-44af-9858-4add101353c1,1,4.0,,,
46,02db9f91-572a-44af-9858-4add101353c1,1,5.0,,"[""Erosion"", ""Subsidence""]","['Erosion', 'Subsidence']"
47,02db9f91-572a-44af-9858-4add101353c1,1,6.0,,,
48,02db9f91-572a-44af-9858-4add101353c1,1,7.0,,,
49,02db9f91-572a-44af-9858-4add101353c1,1,8.0,,,
50,02db9f91-572a-44af-9858-4add101353c1,1,9.0,,,
51,02db9f91-572a-44af-9858-4add101353c1,1,10.0,,,
52,02db9f91-572a-44af-9858-4add101353c1,1,11.0,,,
53,02db9f91-572a-44af-9858-4add101353c1,1,12.0,,,
54,02db9f91-572a-44af-9858-4add101353c1,1,13.0,,,
55,02db9f91-572a-44af-9858-4add101353c1,2,1.0,,"[""Weed""]",['Weed']
56,02db9f91-572a-44af-9858-4add101353c1,2,2.0,,,
57,02db9f91-572a-44af-9858-4add101353c1,2,3.0,,,
58,02db9f91-572a-44af-9858-4add101353c1,2,4.0,,,
59,02db9f91-572a-44af-9858-4add101353c1,2,5.0,,"[""Erosion"", ""Subsidence""]","['Erosion', 'Subsidence']"
60,02db9f91-572a-44af-9858-4add101353c1,2,6.0,,,
61,02db9f91-572a-44af-9858-4add101353c1,2,7.0,,,
62,02db9f91-572a-44af-9858-4add101353c1,2,8.0,,,
63,02db9f91-572a-44af-9858-4add101353c1,2,9.0,,,
64,02db9f91-572a-44af-9858-4add101353c1,2,10.0,,,
65,02db9f91-572a-44af-9858-4add101353c1,2,11.0,,,
66,02db9f91-572a-44af-9858-4add101353c1,2,12.0,,,
67,02db9f91-572a-44af-9858-4add101353c1,2,13.0,,,
68,02db9f91-572a-44af-9858-4add101353c1,3,1.0,,,
69,02db9f91-572a-44af-9858-4add101353c1,4,1.0,,,
70,02db9f91-572a-44af-9858-4add101353c1,4,2.0,,,
71,02db9f91-572a-44af-9858-4add101353c1,5,1.0,,"[""Weed""]",['Weed']
72,02db9f91-572a-44af-9858-4add101353c1,5,2.0,,,
73,02db9f91-572a-44af-9858-4add101353c1,5,3.0,,,
74,02db9f91-572a-44af-9858-4add101353c1,5,4.0,,,
75,02db9f91-572a-44af-9858-4add101353c1,5,5.0,,"[""Erosion"", ""Subsidence""]","['Erosion', 'Subsidence']"
76,02db9f91-572a-44af-9858-4add101353c1,5,6.0,,,
77,02db9f91-572a-44af-9858-4add101353c1,5,7.0,,,
78,02db9f91-572a-44af-9858-4add101353c1,5,8.0,,,
79,02db9f91-572a-44af-9858-4add101353c1,5,9.0,,,
80,02db9f91-572a-44af-9858-4add101353c1,6,1.0,,"[""Weed""]",['Weed']
81,02db9f91-572a-44af-9858-4add101353c1,6,2.0,,,
82,02db9f91-572a-44af-9858-4add101353c1,6,3.0,,,
83,02db9f91-572a-44af-9858-4add101353c1,6,4.0,,,
84,02db9f91-572a-44af-9858-4add101353c1,6,5.0,,"[""Erosion"", ""Subsidence""]","['Erosion', 'Subsidence']"
85,02db9f91-572a-44af-9858-4add101353c1,6,6.0,,,
86,02db9f91-572a-44af-9858-4add101353c1,6,7.0,,,
87,02db9f91-572a-44af-9858-4add101353c1,6,8.0,,,
88,02db9f91-572a-44af-9858-4add101353c1,6,9.0,,,
89,02db9f91-572a-44af-9858-4add101353c1,7,1.0,,,
90,02db9f91-572a-44af-9858-4add101353c1,7,2.0,,"[""Erosion"", ""Subsidence""]","['Erosion', 'Subsidence']"
91,02db9f91-572a-44af-9858-4add101353c1,7,3.0,,,
92,02db9f91-572a-44af-9858-4add101353c1,8,1.0,,,
93,02db9f91-572a-44af-9858-4add101353c1,8,2.0,,,
94,02db9f91-572a-44af-9858-4add101353c1,8,3.0,,"[""Erosion"", ""Subsidence""]","['Erosion', 'Subsidence']"
95,02db9f91-572a-44af-9858-4add101353c1,8,4.0,,,
96,02db9f91-572a-44af-9858-4add101353c1,8,5.0,,,
97,02db9f91-572a-44af-9858-4add101353c1,8,6.0,,,
98,02db9f91-572a-44af-9858-4add101353c1,8,7.0,,,
99,02db9f91-572a-44af-9858-4add101353c1,9,1.0,,,
100,02db9f91-572a-44af-9858-4add101353c1,9,2.0,,,
101,02db9f91-572a-44af-9858-4add101353c1,10,1.0,,,
102,02db9f91-572a-44af-9858-4add101353c1,10,2.0,,,
103,02db9f91-572a-44af-9858-4add101353c1,10,3.0,,,
104,02db9f91-572a-44af-9858-4add101353c1,10,4.0,,"[""Erosion"", ""Subsidence""]","['Erosion', 'Subsidence']"
105,02db9f91-572a-44af-9858-4add101353c1,10,5.0,,,
106,02db9f91-572a-44af-9858-4add101353c1,10,6.0,,,
107,02db9f91-572a-44af-9858-4add101353c1,10,7.0,,,
108,02db9f91-572a-44af-9858-4add101353c1,10,8.0,,,
109,02db9f91-572a-44af-9858-4add101353c1,11,1.0,,,
110,02db9f91-572a-44af-9858-4add101353c1,11,2.0,,,
111,02db9f91-572a-44af-9858-4add101353c1,11,3.0,,,
112,02db9f91-572a-44af-9858-4add101353c1,11,4.0,,"[""Erosion"", ""Subsidence""]","['Erosion', 'Subsidence']"
113,02db9f91-572a-44af-9858-4add101353c1,11,5.0,,,
114,02db9f91-572a-44af-9858-4add101353c1,11,6.0,,,
115,02db9f91-572a-44af-9858-4add101353c1,11,7.0,,,
116,02db9f91-572a-44af-9858-4add101353c1,11,8.0,,,
117,02db9f91-572a-44af-9858-4add101353c1,12,1.0,,"[""Weed""]",['Weed']
118,02db9f91-572a-44af-9858-4add101353c1,12,2.0,,,
119,02db9f91-572a-44af-9858-4add101353c1,12,3.0,,,
120,02db9f91-572a-44af-9858-4add101353c1,12,4.0,,"[""Erosion"", ""Subsidence""]","['Erosion', 'Subsidence']"
121,02db9f91-572a-44af-9858-4add101353c1,12,5.0,,,
